"Species","GeneID","GeneName","Elements","Citation(s) - DOI only","Closest species orthologs","Tissue","Comments","Primary/Inferred","Inferred from?","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivumearly-release orthologs","Z.mays orthologs","G.max orthologs","S.bicolor orthologs","S.viridisearly-release orthologs","S.italica orthologs"
"Z.mays","GRMZM2G060952","YS1","Fe","10.1104/pp.106.1.71","O.sativa, S.bicolor, T.aestivum","Root","ZEAMMB73_Zm00001d028360","Primary","NA","AT1G59950,AT1G59960","Medtr4g072320,Medtr4g072350,Medtr4g072360,Medtr6g073110","LOC_Os03g13390","Traes_4AS_887399584","GRMZM2G060952","Glyma.02G307300,Glyma.15G189300,Glyma.18G285800,Glyma.20G031100","Sobic.001G443100","Sevir.9G479900","Seita.9G476100"
"Z.mays","GRMZM2G481755",NA,"P",NA,NA,NA,NA,"Inferred","AT1G12640","AT1G12640,AT1G63050","Medtr4g102750","LOC_Os02g45344","Traes_6AL_75BA4C59A,Traes_6DL_4E31B8DE8","GRMZM2G481755","Glyma.05G049500,Glyma.17G131500","Sobic.004G283600","Sevir.1G275100","Seita.1G270400"
"Z.mays","GRMZM2G061156",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os07g38580","Traes_2BS_CCA9B58A3","GRMZM2G061156","Glyma.04G023100,Glyma.06G023000","Sobic.002G348600","Sevir.2G374000","Seita.2G363000"
"Z.mays","GRMZM2G113276",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","Traes_5AL_21B739F34,Traes_5BL_0992ADD0A,Traes_5DL_7953B077C,Traes_7AS_2BF62E1DE,Traes_7BS_725BE98D0,Traes_7DS_54B335225","GRMZM2G113276","Glyma.09G085300,Glyma.15G193400","Sobic.005G040700,Sobic.009G105900","Sevir.3G283200,Sevir.5G024400","Seita.3G275800,Seita.5G025700"
"Z.mays","GRMZM2G401874",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","","","GRMZM2G401874","Glyma.09G085300,Glyma.15G193400","","",""
"Z.mays","GRMZM2G061303",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450,AT4G21680","Medtr4g098800,Medtr5g014150,Medtr7g010820","LOC_Os02g48570","","GRMZM2G061303","Glyma.01G200100,Glyma.05G070600,Glyma.09G237600,Glyma.09G237700,Glyma.11G042000,Glyma.17G153300,Glyma.18G259900,Glyma.18G260000","Sobic.004G260500","Sevir.1G301800","Seita.1G296400"
"Z.mays","GRMZM2G452630",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G36370","AT1G22020,AT1G36370","Medtr2g006570","LOC_Os01g65410","Traes_3AL_4020ECFB3,Traes_3B_AEE1A6778","GRMZM2G452630","Glyma.08G187800,Glyma.12G170300","Sobic.003G373600","Sevir.5G404100","Seita.5G398800"
"Z.mays","AC233955.1_FG003",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427","Traes_2AS_F55243E0C,Traes_2BS_98815CE06,Traes_4BL_BB0FC3BD3,Traes_4DL_4E10A6DFB,Traes_4DL_AF0869DDB,Traes_6AS_5D0B8CF891","AC233955.1_FG003","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","","Sevir.9G044800",""
"Z.mays","GRMZM2G030036",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427","Traes_2AS_F55243E0C,Traes_2BS_98815CE06,Traes_4BL_BB0FC3BD3,Traes_4DL_4E10A6DFB,Traes_4DL_AF0869DDB,Traes_6AS_5D0B8CF891","GRMZM2G030036","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","Sobic.001G395900","Sevir.9G433666","Seita.9G429600"
"Z.mays","GRMZM2G034956",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427","Traes_2AS_F55243E0C,Traes_2BS_98815CE06,Traes_4BL_BB0FC3BD3,Traes_4DL_4E10A6DFB,Traes_4DL_AF0869DDB,Traes_6AS_5D0B8CF891","GRMZM2G034956","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","","Sevir.9G044800",""
