"Species","GeneID","GeneName","Elements","Citation(s) - DOI only","Closest species orthologs","Tissue","Comments","Primary/Inferred","Inferred from?","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivumearly-release orthologs","Z.mays orthologs","G.max orthologs","S.bicolor orthologs","S.viridisearly-release orthologs","S.italica orthologs"
"A.thaliana","AT1G01580","FRO2","Fe","doi,10.1038/17800",NA,"Root",NA,"Primary","NA","AT1G01580","Medtr8g028780,Medtr8g028795,Medtr8g031070","LOC_Os04g48930","Traes_2BL_E11AA2D03","","Glyma.07G067700,Glyma.16G033800,Glyma.18G235900","","",""
"A.thaliana","AT1G12640","LPCAT1","P","doi: 10.7554/eLife.32077",NA,"Leaf",NA,"Primary","NA","AT1G12640","Medtr4g102750","LOC_Os02g45344","Traes_6AL_75BA4C59A,Traes_6BL_891A1BAAE,Traes_6DL_4E31B8DE8","GRMZM2G481755","Glyma.05G049500,Glyma.17G131500","Sobic.004G283600","Sevir.1G275100","Seita.1G270400"
"A.thaliana","AT1G18910","BTSL2","Fe,Mn,Zn","10.1039/c7mt00152e",NA,"Leaf",NA,"Primary","NA","AT1G18910","Medtr4g107440","","","","Glyma.17G096900","","",""
"A.thaliana","AT1G20110","FYVE1","Fe,Zn,Co,Mn","10.1073/pnas.1402262111",NA,"Root",NA,"Primary","NA","AT1G20110","Medtr3g114080","LOC_Os06g50840,LOC_Os07g38580","Traes_2AS_19B6321CB,Traes_2BS_CCA9B58A3","GRMZM2G061156","Glyma.04G023100,Glyma.06G023000","Sobic.010G269100","Sevir.2G374000,Sevir.4G295200","Seita.2G363000"
"A.thaliana","AT1G30450","CCC","Ca,K,Na,S","10.1371/journal.pone.0063014",NA,"seeds",NA,"Primary","NA","AT1G30450","Medtr2g048510","LOC_Os08g23440","Traes_2AS_58901E0DC,Traes_2DS_6C351FD1B,Traes_5AL_21B739F34,Traes_5BL_0992ADD0A,Traes_5DL_7953B077C,Traes_7AS_2BF62E1DE,Traes_7BS_725BE98D0","GRMZM2G113276,GRMZM2G401874","Glyma.09G085300,Glyma.15G193400","Sobic.005G040700,Sobic.009G105900","Sevir.3G283200,Sevir.5G024400","Seita.3G275800,Seita.5G025700"
"A.thaliana","AT1G32450","AtNRT1.5/AtNPF7.3","K,NO3-","10.1105/tpc.16.00972",NA,"Shoots, Roots",NA,"Primary","NA","AT1G32450","Medtr4g098800,Medtr5g014150","LOC_Os02g48570","Traes_6AL_168121E7E,Traes_6DL_0A59B823C","GRMZM2G061303","Glyma.01G200100,Glyma.05G070600,Glyma.11G042000,Glyma.17G153300","Sobic.004G260500","Sevir.1G301800","Seita.1G296400"
"A.thaliana","AT1G36370","AtMSA1","S,Se","10.1371/journal.pgen.1006298",NA,"Shoots",NA,"Primary","NA","AT1G36370","Medtr2g006570","LOC_Os01g65410,LOC_Os05g35440","Traes_3AL_4020ECFB3,Traes_3B_AEE1A6778","GRMZM2G452630","Glyma.08G187800,Glyma.12G170300","Sobic.003G373600","Sevir.5G404100","Seita.5G398800"
"A.thaliana","AT1G56160","myb10myb72","Fe,Cd,Zn,Co,Mo","10.1371/journal.pgen.1003953",NA,"Leaf",NA,"Primary","NA","AT1G56160","","","","","","","",""
"A.thaliana","AT1G56430","NAS4","Fe,Cd,Co,Mo","10.1371/journal.pgen.1003953",NA,"Leaf",NA,"Primary","NA","AT1G56430","Medtr1g084050,Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427,LOC_Os07g48980","Traes_2BS_CB79BAFB1,Traes_6AS_5D0B8CF891,Traes_6DS_0BF81EADB,Traes_6DS_1965FC73E","AC233955.1_FG003,GRMZM2G030036,GRMZM2G034956,GRMZM2G050108,GRMZM2G124785,GRMZM2G312481,GRMZM2G385200,GRMZM2G439195,GRMZM2G478568,GRMZM2G704488","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","Sobic.001G151400,Sobic.001G395900","Sevir.2G452700,Sevir.9G044800","Seita.2G440200,Seita.9G045300,Seita.9G429600"
"A.thaliana","AT1G62180","AtAPR2","S,Se","10.1038/ng2050; 10.1104/pp.114.247825",NA,"Shoots",NA,"Primary","NA","AT1G62180","","LOC_Os07g32570","Traes_2BS_DDCEEE1DE,Traes_2DS_46D766017","AC189750.4_FG004,GRMZM2G087254","","Sobic.002G314300","Sevir.2G338800","Seita.2G327500"
