"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary.Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","Z.mays orthologs","G.max orthologs","S.bicolor orthologs","S.viridisearly-release orthologs","S.italica orthologs"
"G.max","Glyma.07G067700",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G01580,AT1G01590","Medtr8g028780,Medtr8g028795","LOC_Os04g48930","","Glyma.07G067700","","",""
"G.max","Glyma.16G033800",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G01580,AT1G01590","Medtr8g028780,Medtr8g028795","LOC_Os04g48930","","Glyma.16G033800","","",""
"G.max","Glyma.18G235900",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G01580","AT1G01580,AT1G01590","","LOC_Os04g48930","","Glyma.18G235900","","",""
"G.max","Glyma.17G096900",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT1G18910,AT1G74770","AT1G18910,AT1G74770","Medtr4g107440","","","Glyma.17G096900","","",""
"G.max","Glyma.04G023100",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os06g50840","GRMZM2G061156","Glyma.04G023100","Sobic.010G269100","Sevir.4G295200","Seita.2G363000"
"G.max","Glyma.06G023000",NA,"Fe,Zn,Co,Mn",NA,NA,NA,NA,"Inferred","AT1G20110","AT1G20110","Medtr3g114080","LOC_Os06g50840","GRMZM2G061156","Glyma.06G023000","Sobic.010G269100","Sevir.4G295200","Seita.2G363000"
"G.max","Glyma.09G085300",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","GRMZM2G113276,GRMZM2G401874","Glyma.09G085300","Sobic.005G040700,Sobic.009G105900","Sevir.3G283200,Sevir.5G024400","Seita.3G275800,Seita.5G025700"
"G.max","Glyma.15G193400",NA,"Ca,K,Na,S",NA,NA,NA,NA,"Inferred","AT1G30450","AT1G30450","Medtr2g048510","LOC_Os08g23440","GRMZM2G113276,GRMZM2G401874","Glyma.15G193400","Sobic.005G040700,Sobic.009G105900","Sevir.3G283200,Sevir.5G024400","Seita.3G275800,Seita.5G025700"
"G.max","Glyma.01G200100",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450","Medtr5g014150","","GRMZM2G061303","Glyma.01G200100","Sobic.004G276200","","Seita.1G296400"
"G.max","Glyma.05G070600",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450","Medtr4g098800","","GRMZM2G061303","Glyma.05G070600","Sobic.004G276200","","Seita.1G296400"
"G.max","Glyma.11G042000",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450","Medtr5g014150","","GRMZM2G061303","Glyma.11G042000","Sobic.004G276200","","Seita.1G296400"
"G.max","Glyma.17G153300",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450","Medtr4g098800","","GRMZM2G061303","Glyma.17G153300","Sobic.004G276200","","Seita.1G296400"
"G.max","Glyma.08G187800",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G36370","AT1G22020,AT1G36370","Medtr2g006570","LOC_Os01g65410,LOC_Os05g35440","GRMZM2G452630","Glyma.08G187800","Sobic.003G373600","Sevir.5G404100","Seita.5G398800"
"G.max","Glyma.12G170300",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G36370","AT1G22020,AT1G36370","Medtr2g006570","LOC_Os01g65410,LOC_Os05g35440","GRMZM2G452630","Glyma.12G170300","Sobic.003G373600","Sevir.5G404100","Seita.5G398800"
"G.max","Glyma.03G231200",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427,LOC_Os07g48980","AC233955.1_FG003,GRMZM2G030036,GRMZM2G034956,GRMZM2G050108,GRMZM2G124785,GRMZM2G312481,GRMZM2G385200,GRMZM2G439195,GRMZM2G478568,GRMZM2G704488","Glyma.03G231200","Sobic.001G151400,Sobic.001G395900","Sevir.2G452700,Sevir.9G044800","Seita.2G440200,Seita.9G045300,Seita.9G429600"
